time	x	y	z
38.1725	-1.094455027	2.029753815	-2.351160271
38.175	-1.128516322	2.039185393	-1.871259808
38.1775	-0.735527579	1.980522706	-1.239236029
38.18	-0.057311576	1.75249431	-0.629233599
38.1825	0.725387529	1.173067438	-0.296010458
38.185	1.464000626	0.196245125	-0.408980532
38.1875	2.079158796	-0.948963855	-0.936405487
38.19	2.550805684	-1.836039427	-1.660182511
38.1925	2.877356662	-2.100573655	-2.305591418
38.195	3.03697331	-1.694756402	-2.690375308
38.1975	2.979040434	-0.93964049	-2.791689339
38.2	2.651009557	-0.322709342	-2.697943177
38.2025	2.040666303	-0.177311226	-2.499430523
38.205	1.20362277	-0.470368223	-2.210681556
38.2075	0.256328083	-0.847289501	-1.78200428
38.21	-0.661969135	-0.896878219	-1.179336917
38.2125	-1.435915289	-0.444090834	-0.454855837
38.215	-2.0047959	0.332556797	0.258914765
38.2175	-2.366046846	1.02781429	0.831920743
38.22	-2.557831735	1.275103022	1.22890057
38.2225	-2.636041682	0.95957108	1.531589796
38.225	-2.65646201	0.247117577	1.867128904
38.2275	-2.6616903	-0.556128413	2.298640008
38.23	-2.66729482	-1.184124217	2.77093884
38.2325	-2.647703311	-1.500079664	3.164912405
38.235	-2.532593999	-1.464012759	3.424946787
38.2375	-2.228082657	-1.057211212	3.654262264
38.24	-1.665852913	-0.267063288	4.082145156
38.2425	-0.861574693	0.839510077	4.896811123
38.245	0.05223734	2.03019159	6.046264202
38.2475	0.848953419	2.921534154	7.154007465
38.25	1.289012282	3.135142439	7.638004051
38.2525	1.227947202	2.514273085	6.993222738
38.255	0.698529567	1.246756167	5.08425261
38.2575	-0.078603599	-0.212788211	2.274342337
38.26	-0.768226854	-1.388632303	-0.693472625
38.2625	-1.049664834	-2.037420743	-3.006472303
38.265	-0.747491411	-2.236447754	-4.122518288
38.2675	0.090992186	-2.252033377	-3.972509058
38.27	1.203096056	-2.2952718	-2.942592768
38.2725	2.200745634	-2.353861145	-1.671744751
